"MovieGenreId";"MovieId";"GenreId"
1;1;3
2;1;8
3;1;17
4;2;3
5;2;22
6;2;8
7;2;23
8;2;19
9;3;5
10;4;4
11;4;5
12;4;9
13;4;10
14;5;12
15;5;19
16;6;1
17;6;3
18;6;17
19;6;19
20;7;3
21;7;8
22;7;21
23;8;1
24;8;3
25;8;10
26;8;17
27;9;1
28;9;3
29;9;17
30;10;3
31;10;9
32;10;10
33;11;8
34;11;10
35;11;12
36;11;15
37;11;16
38;11;19
39;12;1
40;12;3
41;12;19
42;13;1
43;13;3
44;13;8
45;13;10
46;13;12
47;14;8
48;14;20
49;15;1
50;15;5
51;15;6
52;16;5
53;16;8
54;17;22
55;17;6
56;17;19
57;18;1
58;18;15
59;18;17
60;18;19
61;19;5
62;19;8
63;20;22
64;20;8
87;30;3
88;30;8
89;30;17
90;31;3
91;31;22
92;31;8
93;31;23
94;31;19
95;32;5
96;33;4
97;33;5
98;33;9
99;33;10
100;34;12
101;34;19
102;35;1
103;35;3
104;35;17
105;35;19
106;36;3
107;36;8
108;36;21
109;37;1
110;37;3
111;37;10
112;37;17
113;38;1
114;38;3
115;38;17
116;39;3
117;39;9
118;39;10
119;40;8
120;40;10
121;40;12
122;40;15
123;40;16
124;40;19
125;41;1
126;41;3
127;41;19
128;42;1
129;42;3
130;42;8
131;42;10
132;42;12
133;43;8
134;43;20
135;44;1
136;44;5
137;44;6
138;45;5
139;45;8
140;46;22
141;46;6
142;46;19
143;47;1
144;47;15
145;47;17
146;47;19
147;48;5
148;48;8
149;49;22
150;49;8
151;50;22
152;50;8
153;51;3
154;51;5
155;52;5
156;52;8
157;52;13
158;53;1
159;53;3
160;53;17
161;54;1
162;54;6
163;54;19
164;55;5
165;55;14
166;56;1
167;56;12
168;57;8
169;57;10
170;57;16
171;58;1
172;58;3
173;58;10
174;59;6
175;59;8
176;60;8
177;61;8
178;61;15
179;61;16
180;61;17
181;62;12
182;62;19
183;63;12
184;63;19
185;64;8
186;65;1
187;65;3
188;65;5
189;66;1
190;66;3
191;66;5
192;66;10
193;66;12
194;67;1
195;67;19
196;68;3
197;68;17
198;68;19
199;69;3
200;69;15
201;69;17
202;70;1
203;70;3
204;70;17
205;71;8
206;71;16
207;72;8
208;73;5
209;73;8
210;73;16
211;74;1
212;74;15
213;74;17
214;74;19
215;75;22
216;75;5
217;75;6
218;75;8
219;76;4
220;76;5
221;76;9
222;77;1
223;77;5
224;77;12
225;77;17
226;78;3
227;78;9
228;78;10
229;79;8
230;79;16
231;80;17
232;80;19
233;81;8
234;81;12
235;81;19
236;82;1
237;82;3
238;82;10
239;82;17
240;83;12
241;84;5
242;84;13
243;84;16
244;85;8
245;85;17
246;85;19
247;86;3
248;86;15
249;86;17
250;87;22
251;87;8
252;87;16
253;88;5
254;88;12
255;89;5
256;89;10
257;89;12
258;90;5
259;90;16
260;91;1
261;91;19
262;92;1
263;92;6
264;92;19
265;93;5
266;94;5
267;94;8
268;95;8
269;96;8
270;97;19
271;98;8
272;99;1
273;99;6
274;99;19
275;100;1
276;100;5
277;101;15
278;101;17
279;101;19
280;102;1
281;102;15
282;102;17
283;103;1
284;103;3
285;103;17
286;103;19
287;104;1
288;104;3
289;105;8
290;105;15
291;105;19
292;106;1
293;106;3
294;106;10
295;107;14
296;107;16
297;108;1
298;108;17
299;109;8
300;110;3
301;110;10
302;111;3
303;111;22
304;111;8
305;111;23
306;112;4
307;112;3
308;112;5
309;112;9
310;112;10
311;112;17
312;113;6
313;113;8
314;114;1
315;114;3
316;114;17
317;115;3
318;115;8
319;116;21
320;117;8
321;118;1
322;118;8
323;118;10
324;118;12
325;119;8
326;119;16
327;120;4
328;120;3
329;120;5
330;120;9
331;120;10
332;120;14
333;121;22
334;121;8
335;121;16
336;122;12
337;122;15
338;122;19
339;123;5
340;123;16
341;124;1
342;124;3
343;124;17
344;125;1
345;125;22
346;125;8
347;125;23
348;125;19
349;125;20
350;126;1
351;126;3
352;126;17
353;127;1
354;127;3
355;127;5
356;127;10
357;127;17
358;128;22
359;128;8
360;128;13
361;129;1
362;129;3
363;129;10
364;129;17
365;130;3
366;130;5
367;130;8
368;131;22
369;131;6
370;131;8
371;132;12
372;133;5
373;134;12
374;134;15
375;134;19
376;135;12
377;135;15
378;135;19
379;136;8
380;136;16
381;137;8
382;138;8
383;138;16
384;138;17
385;139;12
386;140;1
387;140;3
388;140;17
389;140;19
390;141;12
391;142;8
392;143;8
393;143;16
394;144;12
395;145;5
396;146;1
397;146;5
398;146;8
399;147;22
400;147;8
401;147;23
402;148;5
403;148;16
404;149;8
405;149;12
406;149;19
407;150;8
408;150;10
409;150;16
410;151;8
411;151;12
412;151;15
413;151;19
414;152;8
415;152;13
416;152;16
417;153;1
418;153;3
419;153;19
420;154;1
421;154;3
422;154;9
423;154;10
424;154;16
425;155;17
426;155;19
427;156;6
428;156;8
429;156;17
430;157;8
431;157;15
432;157;19
433;158;1
434;158;8
435;158;23
436;158;20
437;159;1
438;159;3
439;159;10
440;159;15
441;159;16
442;160;5
443;160;16
444;161;1
445;161;17
446;162;1
447;162;3
448;162;17
449;163;5
450;163;6
451;164;4
452;164;9
453;164;10
454;164;14
455;165;6
456;165;8
457;165;19
458;166;5
459;166;8
460;167;8
461;167;12
462;167;15
463;168;4
464;168;3
465;168;8
466;168;9
467;168;14
468;169;12
469;170;6
470;170;8
471;170;19
472;171;3
473;172;6
474;172;8
475;172;15
476;172;19
477;173;4
478;173;1
479;173;3
480;173;9
481;174;5
482;174;16
483;175;6
484;175;8
485;175;19
486;176;6
487;176;8
488;177;5
489;177;16
490;178;12
491;178;15
492;178;19
493;179;1
494;179;3
495;179;10
496;179;17
497;180;6
498;180;8
499;181;5
500;181;15
501;182;5
502;183;1
503;183;8
504;183;17
505;183;19
506;184;5
507;185;3
508;185;5
509;185;9
510;185;10
511;186;1
512;186;3
513;186;10
514;186;17
515;187;8
516;187;17
517;188;8
518;188;15
519;188;17
520;188;19
521;189;5
522;189;10
523;190;6
524;190;8
525;190;19
526;191;8
527;191;14
528;191;16
529;192;22
530;192;8
531;192;23
532;192;20
533;193;1
534;193;3
535;194;8
536;194;12
537;195;5
538;195;6
539;195;8
540;195;15
541;195;16
542;196;3
543;196;8
544;196;10
545;196;16
546;197;22
547;197;8
548;197;23
549;198;6
550;198;8
551;198;19
552;199;8
553;199;23
554;199;19
555;199;20
556;200;4
557;200;3
558;200;5
559;200;9
560;200;10
561;200;16
562;201;8
563;201;16
564;202;15
565;202;19
566;203;1
567;203;5
568;204;1
569;204;17
570;204;19
571;205;5
572;205;8
573;206;1
574;206;22
575;206;8
576;207;1
577;207;3
578;207;5
579;207;10
580;207;17
581;208;22
582;208;8
583;208;23
584;208;19
585;209;5
586;209;8
587;209;16
588;210;5
589;210;8
590;210;20
591;211;6
592;211;8
593;211;10
594;211;15
595;212;6
596;212;8
597;213;22
598;213;6
599;213;8
600;214;15
601;214;19
602;215;5
603;215;12
604;215;19
605;216;6
606;216;8
607;217;5
608;217;8
609;217;9
610;218;8
611;218;20
612;219;1
613;219;3
614;219;19
615;220;1
616;220;3
617;220;9
618;220;10
619;221;6
620;221;15
621;221;19
622;222;22
623;222;8
624;223;4
625;223;3
626;223;5
627;223;9
628;224;6
629;224;8
630;225;8
631;226;5
632;226;16
633;227;1
634;227;3
635;227;17
636;228;19
637;229;8
638;230;1
639;230;3
640;230;5
641;230;6
642;231;8
643;231;15
644;231;19
645;232;12
646;233;3
647;233;10
648;234;1
649;234;6
650;234;19
651;235;8
652;235;16
653;236;12
654;236;15
655;237;1
656;237;22
657;237;8
658;237;19
659;237;20
660;238;8
661;238;19
662;239;5
663;239;8
664;240;15
665;240;17
666;241;6
667;241;8
668;242;22
669;242;8
670;243;6
671;243;12
672;243;19
673;244;8
674;245;1
675;245;3
676;245;10
677;245;17
678;246;5
679;246;8
680;246;19
681;247;8
682;247;14
683;247;16
684;247;19
685;248;5
686;249;8
687;249;12
688;249;15
689;249;19
690;250;1
691;250;3
692;251;8
693;252;1
694;252;8
695;252;10
696;252;12
697;252;20
698;253;1
699;253;3
700;253;17
701;254;12
702;254;16
703;255;8
704;255;13
705;255;16
706;256;3
707;256;9
708;256;10
709;256;16
710;257;1
711;257;6
712;257;8
713;257;19
714;258;8
715;258;10
716;258;12
717;259;5
718;259;8
719;260;4
720;260;3
721;260;5
722;260;9
723;260;10
724;260;13
725;261;1
726;261;3
727;261;10
728;261;17
729;262;22
730;262;6
731;262;8
732;263;1
733;263;5
734;263;10
735;263;16
736;264;5
737;264;21
738;265;5
739;265;17
740;266;8
741;266;12
742;266;14
743;266;19
744;267;5
745;268;5
746;269;1
747;269;17
748;270;22
749;270;8
750;271;8
751;272;1
752;272;3
753;272;17
754;273;8
755;274;8
756;274;16
757;275;5
758;275;8
759;275;16
760;276;5
761;276;8
762;276;16
763;277;4
764;277;3
765;277;9
766;277;10
767;278;3
768;278;10
769;278;16
770;279;8
771;279;10
772;279;16
773;280;1
774;280;5
775;280;6
776;281;8
777;282;3
778;282;10
779;283;1
780;283;3
781;283;16
782;283;17
783;284;1
784;284;3
785;285;3
786;285;9
787;285;10
788;285;15
789;286;5
790;286;10
791;287;1
792;287;3
793;287;10
794;287;15
795;287;19
796;288;5
797;288;16
798;289;1
799;289;3
800;289;17
801;289;19
802;290;5
803;290;8
804;290;16
805;291;1
806;291;3
807;291;10
808;292;1
809;292;3
810;292;15
811;292;17
812;293;22
813;293;8
814;294;6
815;295;5
816;296;22
817;296;6
818;296;8
819;296;16
820;297;1
821;297;3
822;297;17
823;298;8
824;298;15
825;298;19
826;299;5
827;300;1
828;300;3
829;300;17
830;300;19
831;301;1
832;301;6
833;301;8
834;301;19
835;302;5
836;302;12
837;303;3
838;303;9
839;303;10
840;303;15
841;304;8
842;304;12
843;304;19
844;305;5
845;305;10
846;306;3
847;306;9
848;306;10
849;306;16
850;307;3
851;307;9
852;307;10
853;307;15
854;308;3
855;308;5
856;308;8
857;308;10
858;309;22
859;309;8
860;309;9
861;309;14
862;309;16
863;310;5
864;310;6
865;310;8
866;310;19
867;311;1
868;311;3
869;311;10
870;312;3
871;312;9
872;312;10
873;312;14
874;313;5
875;313;8
876;313;16
877;314;1
878;314;3
879;314;10
880;315;8
881;315;17
882;316;3
883;316;9
884;316;10
885;317;8
886;317;15
887;317;17
888;317;19
889;318;8
890;319;8
891;320;1
892;320;6
893;320;12
894;320;19
895;321;8
896;321;15
897;321;19
898;322;5
899;322;8
900;323;5
901;323;9
902;324;12
903;325;8
904;325;15
905;325;16
906;325;17
907;325;19
908;326;4
909;326;3
910;326;5
911;326;9
912;327;8
913;327;19
914;328;1
915;328;8
916;328;16
917;328;20
918;329;5
919;330;22
920;330;8
921;331;5
922;331;8
923;331;12
924;332;22
925;332;8
926;333;5
927;333;6
928;334;8
929;335;4
930;335;5
931;335;8
932;336;1
933;336;3
934;336;17
935;336;19
936;337;1
937;337;6
938;337;8
939;337;15
940;337;19
941;338;8
942;339;1
943;339;3
944;339;10
945;340;6
946;340;19
947;341;8
948;342;5
949;342;8
950;343;5
951;343;8
952;343;16
953;344;5
954;344;8
955;345;5
956;345;8
957;346;8
958;347;8
959;347;12
960;347;15
961;347;19
962;348;6
963;348;8
964;348;19
965;349;15
966;349;19
967;350;8
968;351;1
969;351;3
970;351;8
971;352;3
972;352;5
973;352;17
974;353;12
975;354;12
976;355;12
977;355;17
978;355;19
979;356;3
980;356;8
981;356;21
982;357;12
983;357;17
984;357;19
985;358;1
986;359;5
987;359;21
988;360;1
989;360;5
990;360;17
991;361;5
992;361;8
993;361;10
994;362;5
995;363;3
996;363;9
997;363;10
998;363;15
999;364;1
1000;364;5
1001;365;4
1002;365;5
1003;365;9
1004;365;10
1005;365;14
1006;365;16
1007;366;1
1008;366;3
1009;366;19
1010;367;1
1011;367;3
1012;367;19
1013;368;5
1014;368;16
1015;369;1
1016;369;17
1017;369;20
1018;370;8
1019;370;13
1020;370;16
1021;371;22
1022;371;8
1023;372;5
1024;372;6
1025;373;8
1026;373;15
1027;373;19
1028;374;1
1029;374;8
1030;374;9
1031;375;5
1032;375;10
1033;375;16
1034;376;1
1035;376;3
1036;376;17
1037;377;1
1038;377;5
1039;377;6
1040;378;1
1041;378;3
1042;378;8
1043;378;23
1044;379;8
1045;380;4
1046;380;3
1047;380;5
1048;380;9
1049;380;10
1050;381;5
1051;382;22
1052;382;6
1053;382;8
1054;383;12
1055;383;17
1056;383;19
1057;384;3
1058;384;10
1059;385;8
1060;386;5
1061;386;12
1062;387;1
1063;387;5
1064;388;1
1065;388;3
1066;388;10
1067;388;17
1068;389;12
1069;390;5
1070;391;5
1071;391;8
1072;392;1
1073;392;3
1074;392;10
1075;392;17
1076;393;5
1077;393;8
1078;394;8
1079;394;16
1080;395;1
1081;395;3
1082;395;21
1083;396;5
1084;397;5
1085;398;5
1086;398;12
1087;399;1
1088;399;3
1089;399;17
1090;399;19
1091;400;1
1092;400;3
1093;400;8
1094;400;16
1095;401;1
1096;402;8
1097;402;17
1098;402;19
1099;403;8
1100;403;16
1101;404;5
1102;404;10
1103;404;16
1104;405;1
1105;405;3
1106;405;5
1107;405;9
1108;405;10
1109;406;5
1110;407;8
1111;408;1
1112;408;19
1113;408;21
1114;409;1
1115;409;3
1116;409;19
1117;410;1
1118;410;8
1119;410;10
1120;411;4
1121;411;3
1122;411;5
1123;411;9
1124;412;22
1125;412;6
1126;412;8
1127;412;23
1128;413;5
1129;413;8
1130;413;16
1131;414;1
1132;414;3
1133;414;8
1134;414;19
1135;415;6
1136;415;8
1137;415;15
1138;415;19
1139;416;1
1140;416;3
1141;416;8
1142;416;16
1143;417;4
1144;417;3
1145;417;5
1146;417;9
1147;417;10
1148;417;14
1149;417;16
1150;418;8
1151;418;10
1152;418;19
1153;419;1
1154;419;8
1155;419;19
1156;420;3
1157;420;19
1158;421;5
1159;421;16
1160;422;1
1161;422;6
1162;422;8
1163;422;19
1164;423;1
1165;423;19
1166;424;1
1167;424;5
1168;424;17
1169;425;4
1170;425;5
1171;425;9
1172;426;22
1173;426;8
1174;426;23
1175;427;3
1176;427;5
1177;427;15
1178;428;5
1179;428;8
1180;429;1
1181;429;3
1182;429;16
1183;429;17
1184;429;19
1185;430;1
1186;430;6
1187;430;19
1188;431;12
1189;431;19
1190;432;5
1191;432;8
1192;433;12
1193;433;15
1194;434;1
1195;434;19
1196;435;5
1197;436;8
1198;436;10
1199;437;5
1200;437;6
1201;438;8
1202;438;13
1203;438;16
1204;439;3
1205;439;5
1206;439;6
1207;439;8
1208;439;19
1209;440;8
1210;440;15
1211;440;16
1212;440;20
1213;441;8
1214;442;22
1215;442;8
1216;442;20
1217;443;6
1218;443;8
1219;443;15
1220;443;19
1221;444;1
1222;444;17
1223;445;12
1224;445;19
1225;446;1
1226;446;5
1227;446;6
1228;446;16
1229;446;19
1230;447;4
1231;447;10
1232;448;1
1233;448;19
1234;449;1
1235;449;6
1236;449;8
1237;449;19
1238;450;5
1239;450;9
1240;450;16
1241;451;1
1242;451;12
1243;451;17
1244;452;22
1245;452;6
1246;452;8
1247;453;12
1248;453;17
1249;454;5
1250;454;14
1251;454;16
1252;455;8
1253;455;16
1254;455;19
1255;456;5
1256;456;8
1257;456;16
1258;457;6
1259;457;8
1260;457;15
1261;457;19
1262;458;8
1263;458;14
1264;458;16
1265;459;12
1266;460;1
1267;460;5
1268;460;8
1269;460;9
1270;460;19
1271;461;8
1272;461;19
1273;462;4
1274;462;3
1275;462;9
1276;462;14
1277;463;22
1278;463;8
1279;464;5
1280;464;8
1281;465;1
1282;465;3
1283;465;10
1284;465;17
1285;466;22
1286;466;8
1287;467;1
1288;467;6
1289;467;8
1290;467;19
1291;468;3
1292;468;9
1293;468;10
1294;468;19
1295;469;6
1296;469;8
1297;469;19
1298;470;1
1299;470;3
1300;470;16
1301;471;1
1302;471;12
1303;471;17
1304;471;19
1305;472;5
1306;472;16
1307;473;8
1308;473;20
1309;474;6
1310;474;8
1311;474;13
1312;474;16
1313;475;1
1314;475;6
1315;475;17
1316;475;19
1317;476;4
1318;476;3
1319;476;9
1320;476;17
1321;477;4
1322;477;3
1323;477;5
1324;477;9
1325;477;10
